#WEBOTS_MOTION,V1.0,LHipYawPitch,LHipRoll,LHipPitch,LKneePitch,LAnklePitch,LAnkleRoll,RHipYawPitch,RHipRoll,RHipPitch,RKneePitch,RAnklePitch,RAnkleRoll
2.68,Pose135,0,-0.04,-0.28,0.965,-0.685,0.04,0,-0.04,-0.597,1.028,-0.432,0.04
2.7,Pose136,0,0.007,-0.234,0.936,-0.702,-0.007,0,0.007,-0.567,1.034,-0.467,-0.007
2.72,Pose137,0,0.054,-0.182,0.893,-0.711,-0.054,0,0.054,-0.53,1.029,-0.498,-0.054
2.74,Pose138,0,0.111,-0.105,0.822,-0.716,-0.111,0,0.11,-0.471,1.003,-0.531,-0.111
2.76,Pose139,0,0.141,-0.111,0.87,-0.759,-0.141,0,0.12,-0.438,0.987,-0.549,-0.137
2.78,Pose140,0,0.166,-0.196,1.019,-0.823,-0.166,0,0.104,-0.418,0.983,-0.565,-0.156
2.8,Pose141,0,0.193,-0.424,1.276,-0.852,-0.193,0,0.121,-0.417,0.999,-0.583,-0.174
2.82,Pose142,0,0.201,-0.592,1.373,-0.781,-0.201,0,0.125,-0.428,1.021,-0.593,-0.178
2.84,Pose143,0,0.196,-0.718,1.37,-0.652,-0.196,0,0.124,-0.439,1.041,-0.602,-0.176
2.86,Pose144,0,0.173,-0.761,1.215,-0.454,-0.173,0,0.11,-0.431,1.047,-0.615,-0.163
2.88,Pose145,0,0.15,-0.714,1.088,-0.373,-0.15,0,0.107,-0.407,1.031,-0.624,-0.147
2.9,Pose146,0,0.125,-0.66,1.009,-0.349,-0.125,0,0.121,-0.374,1.009,-0.635,-0.125
2.92,Pose147,0,0.078,-0.622,1.014,-0.392,-0.078,0,0.078,-0.322,0.985,-0.663,-0.078
2.94,Pose148,0,0.035,-0.601,1.028,-0.428,-0.035,0,0.035,-0.286,0.969,-0.683,-0.035
2.96,Pose149,0,-0.038,-0.555,1.032,-0.478,0.038,0,-0.038,-0.217,0.922,-0.705,0.038
2.98,Pose150,0,-0.085,-0.517,1.021,-0.504,0.085,0,-0.085,-0.164,0.874,-0.71,0.085
3,Pose151,0,-0.121,-0.479,1,-0.521,0.122,0,-0.122,-0.118,0.83,-0.712,0.122
3.02,Pose152,0,-0.124,-0.436,0.979,-0.543,0.163,0,-0.17,-0.138,0.926,-0.788,0.17
3.04,Pose153,0,-0.131,-0.421,0.977,-0.556,0.183,0,-0.198,-0.21,1.065,-0.855,0.198
3.06,Pose154,0,-0.152,-0.414,0.985,-0.571,0.205,0,-0.23,-0.348,1.242,-0.894,0.23
3.08,Pose155,0,-0.161,-0.412,0.989,-0.577,0.214,0,-0.24,-0.425,1.284,-0.86,0.24
3.1,Pose156,0,-0.167,-0.401,0.98,-0.579,0.22,0,-0.237,-0.464,1.21,-0.746,0.237
3.12,Pose157,0,-0.168,-0.385,0.962,-0.577,0.22,0,-0.229,-0.434,1.097,-0.662,0.229
3.14,Pose158,0,-0.201,-0.365,0.939,-0.575,0.218,0,-0.221,-0.383,0.983,-0.599,0.221
3.16,Pose159,0,-0.213,-0.344,0.92,-0.576,0.213,0,-0.213,-0.344,0.92,-0.576,0.213
3.18,Pose160,0,-0.207,-0.343,0.922,-0.579,0.207,0,-0.207,-0.343,0.922,-0.579,0.207
3.2,Pose161,0,-0.194,-0.352,0.933,-0.582,0.194,0,-0.194,-0.352,0.933,-0.582,0.194
3.22,Pose162,0,-0.182,-0.362,0.945,-0.582,0.182,0,-0.182,-0.362,0.944,-0.582,0.182
3.24,Pose163,0,-0.161,-0.383,0.964,-0.581,0.161,0,-0.161,-0.383,0.964,-0.581,0.161
3.26,Pose164,0,-0.138,-0.407,0.985,-0.578,0.138,0,-0.138,-0.407,0.985,-0.577,0.138
3.28,Pose165,0,-0.121,-0.424,0.998,-0.574,0.121,0,-0.121,-0.424,0.998,-0.574,0.121
3.3,Pose166,0,-0.096,-0.448,1.014,-0.567,0.096,0,-0.096,-0.448,1.014,-0.566,0.096
3.32,Pose167,0,-0.08,-0.462,1.023,-0.561,0.08,0,-0.08,-0.462,1.023,-0.561,0.08
3.34,Pose168,0,-0.058,-0.481,1.034,-0.552,0.058,0,-0.058,-0.481,1.033,-0.552,0.058
3.36,Pose169,0,-0.046,-0.491,1.038,-0.547,0.046,0,-0.046,-0.491,1.038,-0.547,0.046
3.38,Pose170,0,-0.031,-0.503,1.043,-0.54,0.031,0,-0.031,-0.503,1.043,-0.54,0.031
