#WEBOTS_MOTION,V1.0,LShoulderPitch,LShoulderRoll,LElbowYaw,LElbowRoll,LHipYawPitch,LHipRoll,LHipPitch,LKneePitch,LAnklePitch,LAnkleRoll,RHipYawPitch,RHipRoll,RHipPitch,RKneePitch,RAnklePitch,RAnkleRoll,RShoulderPitch,RShoulderRoll,RElbowYaw,RElbowRoll
6.32,Pose80,1.745,0.349,-1.396,-1.396,-0.477,-0.135,-0.07,0.973,-0.567,0.184,-0.477,-0.243,-0.171,0.992,-0.485,0.174,1.745,-0.349,1.396,1.396
6.4,Pose81,1.745,0.349,-1.396,-1.396,-0.466,-0.171,-0.042,0.938,-0.561,0.224,-0.466,-0.289,-0.18,0.993,-0.478,0.218,1.745,-0.349,1.396,1.396
6.48,Pose82,1.745,0.349,-1.396,-1.396,-0.448,-0.166,-0.041,0.925,-0.556,0.244,-0.448,-0.311,-0.209,1.035,-0.497,0.242,1.745,-0.349,1.396,1.396
6.56,Pose83,1.745,0.349,-1.396,-1.396,-0.422,-0.146,-0.054,0.921,-0.552,0.26,-0.422,-0.325,-0.255,1.098,-0.528,0.262,1.745,-0.349,1.396,1.396
6.64,Pose84,1.745,0.349,-1.396,-1.396,-0.374,-0.165,-0.096,0.928,-0.547,0.278,-0.374,-0.337,-0.34,1.205,-0.579,0.285,1.745,-0.349,1.396,1.396
6.72,Pose85,1.745,0.349,-1.396,-1.396,-0.336,-0.178,-0.135,0.937,-0.543,0.286,-0.336,-0.339,-0.4,1.267,-0.606,0.296,1.745,-0.349,1.396,1.396
6.8,Pose86,1.745,0.349,-1.396,-1.396,-0.296,-0.188,-0.178,0.948,-0.538,0.291,-0.296,-0.337,-0.455,1.313,-0.624,0.303,1.745,-0.349,1.396,1.396
6.88,Pose87,1.745,0.349,-1.396,-1.396,-0.231,-0.196,-0.247,0.962,-0.529,0.293,-0.231,-0.328,-0.521,1.337,-0.628,0.306,1.745,-0.349,1.396,1.396
6.96,Pose88,1.745,0.349,-1.396,-1.396,-0.188,-0.197,-0.292,0.967,-0.521,0.29,-0.188,-0.319,-0.548,1.322,-0.618,0.304,1.745,-0.349,1.396,1.396
7.04,Pose89,1.745,0.349,-1.396,-1.396,-0.147,-0.194,-0.333,0.969,-0.513,0.285,-0.147,-0.308,-0.56,1.283,-0.598,0.298,1.745,-0.349,1.396,1.396
